instructor_1,instructor_2,course_url
Chloe Barrett,Hilary Gupte,https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course
Chloe Barrett,Maxwell Boardman,https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course
Chloe Barrett,Olivia Bradbury,https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course
Hilary Gupte,Maxwell Boardman,https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course
Hilary Gupte,Olivia Bradbury,https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course
Maxwell Boardman,Olivia Bradbury,https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course
Chloe Barrett,Hilary Gupte,https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course
Chloe Barrett,Maxwell Boardman,https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course
Chloe Barrett,Olivia Bradbury,https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course
Hilary Gupte,Maxwell Boardman,https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course
Hilary Gupte,Olivia Bradbury,https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course
Maxwell Boardman,Olivia Bradbury,https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course
Chloe Barrett,Hilary Gupte,https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course
Chloe Barrett,Maxwell Boardman,https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course
Chloe Barrett,Olivia Bradbury,https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course
Hilary Gupte,Maxwell Boardman,https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course
Hilary Gupte,Olivia Bradbury,https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course
Maxwell Boardman,Olivia Bradbury,https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course
Chloe Barrett,Hilary Gupte,https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course
Chloe Barrett,Maxwell Boardman,https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course
Chloe Barrett,Olivia Bradbury,https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course
Hilary Gupte,Maxwell Boardman,https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course
Hilary Gupte,Olivia Bradbury,https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course
Maxwell Boardman,Olivia Bradbury,https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course
Chloe Barrett,Hilary Gupte,https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course
Chloe Barrett,Maxwell Boardman,https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course
Chloe Barrett,Olivia Bradbury,https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course
Hilary Gupte,Maxwell Boardman,https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course
Hilary Gupte,Olivia Bradbury,https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course
Maxwell Boardman,Olivia Bradbury,https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course
Chloe Barrett,Hilary Gupte,https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course
Chloe Barrett,Maxwell Boardman,https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course
Chloe Barrett,Olivia Bradbury,https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course
Hilary Gupte,Maxwell Boardman,https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course
Hilary Gupte,Olivia Bradbury,https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course
Maxwell Boardman,Olivia Bradbury,https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course
Hanaa Abumarshoud,Lina Mohjazi,https://www.coursera.org/learn/6g-deployment-testbeds-antenna-systems-and-digital-twins
Hanaa Abumarshoud,Lina Mohjazi,https://www.coursera.org/learn/6g-evolution-blockchain-semantic-communications-and-radar
Hanaa Abumarshoud,Lina Mohjazi,https://www.coursera.org/learn/6g-vision-ml-intelligent-surfaces-and-optical-networks
Emilie Johnson,Paul Daugherty,https://www.coursera.org/learn/a-blueprint-for-success-your-video-pre-production
"Chase Crossno, MPH","Evonne Kaplan-Liss, MD MPH",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Chase Crossno, MPH","Kathryn (Kadee) Winters, MD",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Chase Crossno, MPH","Timothy Goldman, MA",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Chase Crossno, MPH","Valeri Lantz-Gefroh, MFA",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Evonne Kaplan-Liss, MD MPH","Kathryn (Kadee) Winters, MD",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Evonne Kaplan-Liss, MD MPH","Timothy Goldman, MA",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Evonne Kaplan-Liss, MD MPH","Valeri Lantz-Gefroh, MFA",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Kathryn (Kadee) Winters, MD","Timothy Goldman, MA",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Kathryn (Kadee) Winters, MD","Valeri Lantz-Gefroh, MFA",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
"Timothy Goldman, MA","Valeri Lantz-Gefroh, MFA",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare
Dr Areti Manataki,InÃ©s Friss de Kereki,https://www.coursera.org/learn/a-programar
"Frank R. Lin, MD, PhD","Jennifer A. Deal, PhD",https://www.coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging
"Frank R. Lin, MD, PhD","Nicholas S. Reed, AuD",https://www.coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging
"Jennifer A. Deal, PhD","Nicholas S. Reed, AuD",https://www.coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging
Dr. Antonio Schettino,Dr. Chrysoula Papacharalampou,https://www.coursera.org/learn/a-starters-guide-to-open-science
Dr. Antonio Schettino,Dr. Lizette Guzman Ramirez,https://www.coursera.org/learn/a-starters-guide-to-open-science
Dr. Antonio Schettino,Risbo B.V.,https://www.coursera.org/learn/a-starters-guide-to-open-science
Dr. Chrysoula Papacharalampou,Dr. Lizette Guzman Ramirez,https://www.coursera.org/learn/a-starters-guide-to-open-science
Dr. Chrysoula Papacharalampou,Risbo B.V.,https://www.coursera.org/learn/a-starters-guide-to-open-science
Dr. Lizette Guzman Ramirez,Risbo B.V.,https://www.coursera.org/learn/a-starters-guide-to-open-science
Dr. Barbara Oakley,Dr. Terrence Sejnowski,https://www.coursera.org/learn/a-tanulas-tanulasa
Dr. Barbara Oakley,Kocsis Lilla,https://www.coursera.org/learn/a-tanulas-tanulasa
Dr. Barbara Oakley,SzakÃ¡l PÃ©ter,https://www.coursera.org/learn/a-tanulas-tanulasa
Dr. Terrence Sejnowski,Kocsis Lilla,https://www.coursera.org/learn/a-tanulas-tanulasa
Dr. Terrence Sejnowski,SzakÃ¡l PÃ©ter,https://www.coursera.org/learn/a-tanulas-tanulasa
Kocsis Lilla,SzakÃ¡l PÃ©ter,https://www.coursera.org/learn/a-tanulas-tanulasa
Diana Lopez Tavares,Rebecca Vieyra,https://www.coursera.org/learn/a-turma-toda-com-simulacoes-phet-para-a-educao-stem
"Bas Boekestijn, MD","Beerend P. Hierck, PHD.",https://www.coursera.org/learn/abdomen-anatomy
"Bas Boekestijn, MD","DaniÃ«l Jansma, MSc",https://www.coursera.org/learn/abdomen-anatomy
"Bas Boekestijn, MD",Friso Jansen,https://www.coursera.org/learn/abdomen-anatomy
"Bas Boekestijn, MD","Marco De Ruiter, PhD",https://www.coursera.org/learn/abdomen-anatomy
"Bas Boekestijn, MD","Paul GobÃ©e, MD",https://www.coursera.org/learn/abdomen-anatomy
"Beerend P. Hierck, PHD.","DaniÃ«l Jansma, MSc",https://www.coursera.org/learn/abdomen-anatomy
"Beerend P. Hierck, PHD.",Friso Jansen,https://www.coursera.org/learn/abdomen-anatomy
"Beerend P. Hierck, PHD.","Marco De Ruiter, PhD",https://www.coursera.org/learn/abdomen-anatomy
"Beerend P. Hierck, PHD.","Paul GobÃ©e, MD",https://www.coursera.org/learn/abdomen-anatomy
"DaniÃ«l Jansma, MSc",Friso Jansen,https://www.coursera.org/learn/abdomen-anatomy
"DaniÃ«l Jansma, MSc","Marco De Ruiter, PhD",https://www.coursera.org/learn/abdomen-anatomy
"DaniÃ«l Jansma, MSc","Paul GobÃ©e, MD",https://www.coursera.org/learn/abdomen-anatomy
